prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes,components,NA_status
5010,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5016,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5026,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
4004,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5001,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5004,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5005,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5006,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5007,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5008,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5011,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5014,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5015,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5017,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5018,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5019,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5020,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5021,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5022,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5024,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5027,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5028,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
4003,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5002,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5003,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5009,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5012,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5023,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5025,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
5013,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
4001,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
4002,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
4006,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
4009,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
4010,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
4011,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
4012,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
4007,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
4008,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
4005,precipitation,ready,ready,NA,precipitation__ms002,NA,NA,NA
6,stream_chemistry,ready,ready,NA,stream_flux_inst__ms005,NA,"Stream chemistry, registered stations, all years",NA
3006,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3009,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3010,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3011,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3001,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3003,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3007,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3008,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3013,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3015,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3016,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3005,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3002,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3004,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3012,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
3014,discharge,ready,ready,NA,discharge__ms001,NA,NA,NA
ms006,usgs_discharge,NA,NA,ready,discharge__ms001,"Two sites are colocated with usgs gauges but the data through lter portal has not been updated in 8 years, so using USGS as data source",NA,NA
ms001,discharge,NA,NA,ready,stream_flux_inst__ms005,NA,NA,NA
ms002,precipitation,NA,NA,ready,precip_pchem_pflux__ms003,NA,NA,NA
ms004,precip_gauge_locations,NA,NA,ready,precip_pchem_pflux__ms003,NA,NA,NA
ms007,stream_gauge_locations,NA,NA,ready,NA,NA,NA,NA
ms003,precip_pchem_pflux,NA,NA,ready,NA,NA,NA,NA
ms005,stream_flux_inst,NA,NA,ready,NA,NA,NA,NA
ms000,ws_boundary,NA,NA,NA,precip_pchem_pflux__ms003,automated entry,NA,NA
ms008,stream_chemistry,NA,NA,linked,stream_flux_inst__ms005,automated entry,NA,NA
ms900,precipitation,NA,NA,NA,NA,automated entry,NA,NA
