"param_code","ms_varcode","unit","priority"
"00010","temp","degrees C",1
"00080","color","PCU",1
"00095","spCond","uS/cm",1
"90095","spCond","uS/cm",2
"00191","H","mg/L",1
"00300","DO","mg/L",1
"00405","CO2","mg/L",1
"00400","pH","unitless",1
"00403","pH","unitless",2
"00408","pH","unitless",3
"00409","ANC","ueq/L",1
"00413","ANC","mg/L",2
"00600","TN","mg/L",1
"00602","TDN","mg/L",2
"00608","NH4_N","mg/L",1
"00613","NO2_N","mg/L",1
"00618","NO3_N","mg/L",1
"00631","NO3_NO2_N","mg/L",1
"00665","TP","mg/L",1
"00681","DOC","mg/L",1
"00694","TPC","mg/L",1
"00915","Ca","mg/L",1
"00925","Mg","mg/L",1
"00930","Na","mg/L",1
"00935","K","mg/L",1
"91054","K","mg/L",2
"00940","Cl","mg/L",1
"91001","Cl","ug/L",2
"00945","SO4","mg/L",1
"91005","SO4","ug/L",2
"00950","F","mg/L",1
"91002","F","ug/L",2
"00955","SiO2","mg/L",1
"01046","Fe","ug/L",1
"01056","Mn","ug/L",1
"01080","Sr","ug/L",1
"01106","Al","ug/L",1
"29803","alk","mg/L",2
"32209","Chla","ug/L",1
"39087","alk","mg/L",1
"49570","TPN","mg/L",1
"50624","abs254_cm","AU/cm",1
"62854","TDN","mg/L",1
"63041","d18O_NO3","permil",1
"70301","TDS","mg/L",1
"00671","SRP","mg/L",1
"91004","SRP","ug/L",2
"71846","NH4","mg/L",1
"71851","NO3","mg/L",1
"91003","NO3","ug/L",2
"71856","NO2","mg/L",1
"71870","Br","mg/L",1
"91000","Br","ug/L",2
"75978","87Sr_86Sr","unitless",1
"82082","dD","permil",1
"82085","d18O","permil",1
"82086","d34S","permil",1
"82690","d15N_NO3","permil",1
"90410","ANC","mg/L",3
"50286","Hg","ng/L",1
"50284","CH3Hg","ng/L",1
"00650","PO4","mg/L",1
"00665","P","mg/L",1
